Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,RAM,ROM,Display_Size,Battery,Full_HD_or_HD,Camera
REDMI,8388,8948,6% off,4.2,8396611.0,4.0,64.0,16.59,5000.0,HD,13.0
POCO,16999,23999,29% off,4.2,567855828.0,6.0,128.0,16.94,5000.0,Full HD,64.0
Infinix,9999,15999,37% off,4.2,208772116.0,4.0,64.0,17.02,5000.0,Full HD,50.0
SAMSUNG,15999,22999,30% off,4.2,308812512.0,4.0,128.0,16.76,5000.0,Full HD,50.0
vivo,14999,18990,21% off,4.4,3088188.0,6.0,128.0,16.71,5000.0,Full HD,50.0
Infinix,7599,9999,24% off,4.2,8795655.0,3.0,64.0,17.32,5000.0,HD,8.0
Infinix,11999,17999,33% off,4.2,23733.0,4.0,64.0,16.76,5000.0,Full HD,50.0
Infinix,11999,17999,33% off,4.2,23733.0,4.0,64.0,16.76,5000.0,Full HD,50.0
Infinix,11999,17999,33% off,4.2,23733.0,4.0,64.0,16.76,5000.0,Full HD,50.0
SAMSUNG,11499,14999,23% off,4.3,1000539621.0,4.0,64.0,16.26,6000.0,HD,48.0
POCO,10999,15999,31% off,4.2,425393504.0,4.0,64.0,16.71,5000.0,Full HD,50.0
SAMSUNG,10064,13999,28% off,4.2,1523101.0,4.0,64.0,16.76,6000.0,,50.0
realme,16499,20999,21% off,4.4,425732783.0,6.0,128.0,16.51,5000.0,Full HD,48.0
REDMI,6249,6330,1% off,4.2,111778.0,2.0,32.0,16.56,5000.0,,5.0
realme,14999,18999,21% off,4.5,355882043.0,4.0,64.0,16.51,5000.0,Full HD,48.0
REDMI,6122,7998,23% off,4.2,111778.0,2.0,32.0,16.56,5000.0,,5.0
Nokia,1459,1490,2% off,4.2,628634936.0,,,4.5,800.0,,
realme,16499,20999,21% off,4.4,425732783.0,6.0,128.0,16.51,5000.0,Full HD,48.0
realme,14999,18999,21% off,4.5,355882043.0,4.0,64.0,16.51,5000.0,Full HD,48.0
REDMI,11999,16999,29% off,4.2,205001543.0,6.0,128.0,17.02,6000.0,HD,50.0
REDMI,11499,16999,32% off,4.3,248821515.0,6.0,64.0,16.33,5000.0,Full HD,64.0
POCO,16999,23999,29% off,4.2,567855828.0,6.0,128.0,16.94,5000.0,Full HD,64.0
APPLE,62999,69900,9% off,4.7,1712619345.0,,128.0,15.49,,,12.0
REDMI,12999,16999,23% off,4.2,9142671.0,6.0,128.0,16.51,6000.0,Full HD,50.0
vivo,17999,23990,24% off,4.3,4881419.0,8.0,128.0,16.36,5000.0,Full HD,50.0
Infinix,8999,13999,35% off,4.3,473495074.0,4.0,64.0,17.22,5000.0,Full HD,50.0
realme,20249,26999,25% off,4.3,2118195.0,8.0,128.0,16.76,5000.0,Full HD,48.0
realme,20249,26999,25% off,4.3,2118195.0,8.0,128.0,16.76,5000.0,Full HD,48.0
Micromax,5999,9499,36% off,4.2,1592212.0,3.0,32.0,16.56,5000.0,HD,8.0
Micromax,5999,9499,36% off,4.2,1592212.0,3.0,32.0,16.56,5000.0,HD,8.0
vivo,19990,23990,16% off,4.3,142921240.0,8.0,128.0,16.71,5000.0,Full HD,50.0
vivo,16990,20990,19% off,4.4,15216112373.0,6.0,128.0,16.71,5000.0,Full HD,50.0
vivo,19990,23990,16% off,4.3,142921240.0,8.0,128.0,16.71,5000.0,Full HD,50.0
Infinix,6499,8999,27% off,4.3,261751783.0,2.0,64.0,16.76,5000.0,HD,8.0
Nokia,1449,1599,9% off,4.1,3994297.0,,,4.5,800.0,,0.0
realme,16499,20999,21% off,4.4,425732783.0,6.0,128.0,16.51,5000.0,Full HD,48.0
MOTOROLA,11999,17999,33% off,4.2,79461017.0,4.0,64.0,16.76,5000.0,Full HD,50.0
MOTOROLA,17999,24999,28% off,4.1,1613193.0,8.0,128.0,16.64,5000.0,Full HD,50.0
realme,11999,13999,14% off,4.4,1560549226.0,4.0,64.0,16.76,5000.0,Full HD,50.0
realme,12999,14999,13% off,4.4,1560549226.0,4.0,128.0,16.76,5000.0,Full HD,50.0
realme,13999,15999,12% off,4.2,12101799.0,6.0,128.0,16.76,5000.0,Full HD,50.0
MOTOROLA,11999,16999,29% off,4.1,119121290.0,6.0,128.0,16.26,5000.0,Full HD,50.0
REDMI,12999,16999,23% off,4.3,435563156.0,4.0,64.0,16.66,5000.0,Full HD,48.0
Realme,5249,8499,38% off,4.3,596303026.0,2.0,32.0,16.51,5000.0,HD,8.0
POCO,15999,22999,30% off,4.2,567855828.0,6.0,64.0,16.94,5000.0,Full HD,64.0
Realme,5249,8499,38% off,4.3,596303026.0,2.0,32.0,16.51,5000.0,HD,8.0
Infinix,7599,9999,24% off,4.2,8795655.0,3.0,64.0,17.32,5000.0,HD,8.0
Infinix,7599,9999,24% off,4.2,8795655.0,3.0,64.0,17.32,5000.0,HD,8.0
Nokia,1549,1899,18% off,4.1,5141359.0,,,4.5,1000.0,,0.0
Infinix,9999,15999,37% off,4.2,208772116.0,4.0,64.0,17.02,5000.0,Full HD,50.0
OPPO,16499,20999,21% off,4.4,10530739.0,6.0,128.0,16.66,5000.0,HD,48.0
SAMSUNG,12999,16999,23% off,4.4,1019585654.0,4.0,128.0,16.76,6000.0,Full HD,50.0
