Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Core,Processor,RAM,ROM,SSD,Display
acer,66990,99999,33% off,4.3,168,,AMD,,,512 GB,39.62 cm
ASUS,59990,86990,31% off,4.3,850,,AMD,,,512 GB,39.62 cm
ASUS,39990,58990,32% off,4.2,295,i3 Processor,Intel,,,512 GB,35.56 cm
ASUS,150990,197990,23% off,4.9,7,,AMD,,,1 TB,39.62 cm
Lenovo,69990,103490,32% off,4.4,23,i5 Processor,Intel,,,512 GB,39.62 cm
APPLE,112990,119990,5% off,4.9,36,,Apple,,,256 GB,34.54 cm
ASUS,104990,158990,33% off,4.5,66,i7 Processor,Intel,,,1 TB,35.56 cm
ASUS,99990,128990,22% off,4.5,115,i7 Processor,Intel,,,1 TB,39.62 cm
ASUS,59990,75990,21% off,4.5,198,,AMD,,,1 TB,39.62 cm
ASUS,33990,45499,25% off,4.8,4,i3 Processor,Intel,,,512 GB,35.56 cm
ASUS,27990,40990,31% off,4.1,97,,Intel,,,256 GB,35.56 cm
Lenovo,64990,120708,46% off,4.2,154,i5 Processor,Intel,,,512 GB,33.02 cm
ASUS,108990,122990,11% off,4.7,3,i5 Processor,Intel,,,512 GB,35.56 cm
MSI,74990,123990,39% off,3.9,94,i7 Processor,Intel,,,512 GB,35.56 cm
ASUS,99990,122990,18% off,4.8,4,,AMD,,,512 GB,33.78 cm
APPLE,139990,149900,6% off,4.6,23,,Apple,,,512 GB,34.54 cm
DELL,38990,54783,28% off,4.0,193,i3 Processor,Intel,,,512 GB,39.62 cm
DELL,59990,85550,29% off,4.1,23,,AMD,,,512GB,39.62 cm
APPLE,139990,149900,6% off,4.7,15,,Apple,,,512 GB,34.54 cm
ASUS,82990,103990,20% off,4.3,68,i5 Processor,Intel,,,512 GB,39.62 cm
MSI,49990,78990,36% off,4.5,167,i5 Processor,Intel,,,512 GB,39.62 cm
Infinix,29990,49999,40% off,4.3,5710,i3 Processor,Intel,,,256 GB,35.56 cm
ASUS,76490,90990,15% off,4.5,2006,,AMD,,,512 GB,39.62 cm
DELL,89081,121935,26% off,5.0,6,,AMD,,,512 GB,39.62 cm
ASUS,30650,40990,25% off,3.6,64,i3 Processor,Intel,,1 TB,,35.81 cm
ASUS,140990,182990,22% off,5.0,5,,AMD,,,1 TB,39.62 cm
Lenovo,58000,74390,22% off,4.3,548,i5 Processor,Intel,,,512 GB,35.56 cm
ASUS,47990,62990,23% off,4.4,26,i3 Processor,Intel,,,512 GB,35.56 cm
APPLE,222990,239900,7% off,4.8,112,,Apple,,,1 TB,36.07 cm
HP,33990,46052,26% off,4.3,3743,,AMD,,,512 GB,39.62 cm
Infinix,36990,59999,38% off,4.2,640,i5 Processor,Intel,,,512 GB,35.56 cm
ASUS,63990,85990,25% off,4.4,611,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
HP,72999,85837,14% off,3.7,21,i5 Processor,Intel,,,512 GB,35.56 cm
Infinix,32990,44990,26% off,4.4,26,i3 Processor,Intel,,,256 GB,39.62 cm
ASUS,64990,81990,20% off,4.5,5061,i5 Processor,Intel,,,512 GB,39.62 cm
HP,75990,92404,17% off,4.3,264,,AMD,,,512 GB,39.62 cm
HP,60990,73544,17% off,4.4,89,,AMD,,,512 GB,39.62 cm
DELL,63090,68928,8% off,3.9,87,i5 Processor,Intel,,,512 GB,14.0-inch
Nokia,50490,90000,43% off,4.4,1491,i5 Processor,Intel,,,512 GB,35.56 cm
ASUS,50990,70990,28% off,4.3,3382,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
DELL,40690,53774,24% off,4.0,28,,AMD,,,512 GB,39.62 cm
DELL,59936,74618,19% off,4.0,3,i5 Processor,Intel,,,512 GB,39.62 cm
DELL,49690,61740,19% off,4.4,13,,AMD,,,512 GB,35.56 cm
APPLE,222990,239900,7% off,4.8,112,,Apple,,,512 GB,41.15 cm
APPLE,139990,149900,6% off,4.3,6,,Apple,,,512 GB,34.54 cm
Infinix,31990,49990,36% off,4.2,55,i3 Processor,Intel,,,512 GB,39.62 cm
DELL,111990,141348,20% off,4.0,12,i7 Processor,Intel,,,512 GB,39.62 cm
Lenovo,35990,48490,25% off,4.2,150,i3 Processor,Intel,,,256 GB,39.62 cm
ASUS,61990,69990,11% off,4.7,15,i5 Processor,Intel,,,512 GB,35.56 cm
Infinix,46990,69999,32% off,4.2,179,i7 Processor,Intel,,,512 GB,35.56 cm
DELL,62490,81497,23% off,4.3,67,i5 Processor,Intel,,,512 GB,39.62 cm
MSI,114990,162990,29% off,4.2,29,i7 Processor,Intel,,,1 TB,39.62 cm
HP,41150,45892,10% off,4.4,5446,i3 Processor,Intel,,,256 GB,35.56 cm
acer,39990,57999,31% off,4.4,360,,AMD,,,512 GB,39.62 cm
HP,42690,50585,15% off,4.2,245,i3 Processor,Intel,,,512 GB,39.62 cm
DELL,54900,68658,20% off,4.3,361,i3 Processor,Intel,,,256GB,35.56 cm
ASUS,26990,42990,37% off,4.3,1643,,AMD,,,256 GB,39.62 cm
ASUS,87990,107990,18% off,4.5,1168,,AMD,,,512 GB,39.62 cm
DELL,43890,57500,23% off,3.9,71,i3 Processor,Intel,,,512 GB,39.62 cm
ASUS,70990,97990,27% off,4.8,6,i5 Processor,Intel,,,1 TB,39.62 cm
DELL,42390,54781,22% off,4.2,890,i3 Processor,Intel,,1 TB,256 GB,39.62 cm
HP,52490,56162,6% off,4.4,790,,AMD,,,512 GB,35.56 cm
ASUS,56990,70990,19% off,4.4,11,i5 Processor,Intel,,,512 GB,35.56 cm
MSI,109990,134990,18% off,4.6,14,i7 Processor,Intel,,,512 GB,39.62 cm
acer,27990,42999,34% off,4.2,81,,AMD,,,512 GB,39.62 cm
ASUS,63980,82990,22% off,4.5,35,i5 Processor,Intel,,,512 GB,39.62 cm
ASUS,69990,82990,15% off,4.5,64,i5 Processor,Intel,,,512 GB,35.56 cm
acer,61999,79990,22% off,3.7,3,i5 Processor,Intel,,,512 GB,39.62 cm
ASUS,64590,81990,21% off,4.5,531,,AMD,,,512 GB,43.94 cm
DELL,71190,93461,23% off,4.7,17,,AMD,,,512 GB,35.56 cm
DELL,42390,44780,5% off,3.9,298,i3 Processor,Intel,,1 TB,,35.56 cm
ASUS,98990,128990,23% off,4.4,114,,AMD,,,512 GB,39.62 cm
acer,54990,89999,38% off,4.3,2582,i5 Processor,Intel,,,512 GB,39.62 cm
DELL,41890,55444,24% off,4.0,193,i3 Processor,Intel,,,512 GB,39.62 cm
ASUS,29980,36990,18% off,4.2,54,,Intel,,,128 GB,29.46 cm
APPLE,222990,239900,7% off,4.8,112,,Apple,,,1 TB,36.07 cm
DELL,45090,54517,17% off,4.0,2034,i3 Processor,Intel,,1 TB,,35.56 cm
ASUS,54990,74990,26% off,4.4,14,,AMD,,,512 GB,35.56 cm
ASUS,36990,56990,35% off,4.2,29,i3 Processor,Intel,,,512 GB,39.62 cm
ASUS,47990,62990,23% off,5.0,3,i3 Processor,Intel,,,512 GB,39.62 cm
HP,118990,140347,15% off,3.5,4,,AMD,,,1 TB,40.89 cm
Lenovo,37990,43990,13% off,4.4,111,,AMD,,,256 GB,39.62 cm
ASUS,95990,140990,31% off,4.5,66,i5 Processor,Intel,,,512 GB,35.56 cm
MSI,114990,139990,17% off,4.5,149,i7 Processor,Intel,,,1 TB,39.62 cm
Lenovo,55600,60990,8% off,4.4,683,,AMD,,,512 GB,35.56 cm
ASUS,44990,59990,25% off,4.7,42,i5 Processor,Intel,,,256 GB,39.62 cm
ASUS,45990,66990,31% off,5.0,5,i5 Processor,Intel,,,256 GB,35.56 cm
acer,99990,149999,33% off,4.5,1551,i7 Processor,Intel,,1 TB,256 GB,39.62 cm
acer,61490,99999,38% off,4.5,2324,,AMD,,1 TB,256 GB,39.62 cm
ASUS,107990,141990,23% off,4.8,16,,AMD,,,1 TB,35.56 cm
acer,155490,179999,13% off,5.0,4,i7 Processor,Intel,,,1 TB,39.62 cm
ASUS,36990,52990,30% off,4.0,44,i3 Processor,Intel,,,512 GB,39.62 cm
lenovo,102990,139890,26% off,4.7,86,i7 processor,Intel,,,512 GB,35.56 cm
ASUS,51990,64990,20% off,4.2,80,i5 Processor,Intel,,,512 GB,39.62 cm
HP,46990,49120,4% off,4.4,461,,AMD,,,256 GB,39.62 cm
acer,48990,59500,17% off,4.1,293,i5 Processor,Intel,,1 TB,,35.56 cm
Infinix,46990,69999,32% off,4.1,327,i7 Processor,Intel,,,512 GB,35.56 cm
HP,38999,47267,17% off,4.3,3743,,AMD,,,256 GB,39.62 cm
ASUS,154990,207990,25% off,4.6,260,,AMD,,,1 TB,39.62 cm
MICROSOFT,99990,124999,20% off,3.8,9,,AMD,,,128 GB,38.1 cm
ASUS,114990,140990,18% off,4.2,6,i5 Processor,Intel,,,512 GB,35.56 cm
ASUS,94990,113990,16% off,4.5,94,i5 Processor,Intel,,,512 GB,43.94 cm
ASUS,122990,173990,29% off,4.3,12,i7 Processor,Intel,,,1 TB,39.62 cm
acer,61130,69999,12% off,4.5,81,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
DELL,67990,76462,11% off,4.1,303,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
ASUS,14990,31990,53% off,4.0,1553,,Intel,,,,29.46 cm
ASUS,74990,89990,16% off,4.0,4,i5 Processor,Intel,,,512 GB,39.62 cm
Lenovo,64000,82490,22% off,4.1,70,i5 Processor,Intel,,,512 GB,39.62 cm
HP,27990,36865,24% off,3.8,300,,Intel,,,256 GB,35.56 cm
Lenovo,69000,113290,39% off,4.0,23,i5 Processor,Intel,,,512 GB,35.56 cm
HP,76070,83553,8% off,4.2,37,i5 Processor,Intel,,,512 GB,39.62 cm
DELL,81990,109353,25% off,4.1,7,i5 Processor,Intel,,,512 GB,35.56 cm
HP,55490,64342,13% off,4.3,52,,AMD,,,512 GB,35.56 cm
acer,96490,149999,35% off,4.4,459,i7 Processor,Intel,,1 TB,512 GB,39.62 cm
acer,46040,60000,23% off,4.1,66,i3 Processor,Intel,,1 TB,256 GB,35.56 cm
ASUS,149990,189990,21% off,4.0,4,,AMD,,,1 TB,39.62 cm
MSI,45990,61990,25% off,4.5,1404,,AMD,,,512 GB,35.56 cm
ASUS,61986,77990,20% off,4.3,478,i5 Processor,Intel,,,512 GB,39.62 cm
HP,90990,118776,23% off,4.5,21,i7 Processor,Intel,,,512 GB,39.62 cm
ASUS,24390,30990,21% off,4.0,899,,Intel,,,,39.62 cm
acer,124990,161999,22% off,4.4,50,i9 Processor,Intel,,,1 TB,39.62 cm
HP,54999,70419,21% off,4.4,201,,AMD,,,512 GB,39.62 cm
ASUS,187990,244990,23% off,4.0,4,,AMD,,,1 TB,39.62 cm
acer,36990,50000,26% off,4.1,61,i3 Processor,Intel,,,256 GB,39.62 cm
MSI,59990,76990,22% off,4.4,3358,i5 Processor,Intel,,1 TB,256 GB,39.62 cm
MSI,66990,83990,20% off,4.4,1843,,AMD,,,512 GB,39.62 cm
Lenovo,33499,41414,19% off,3.9,119,i3 Processor,Intel,,1 TB,,39.62 cm
APPLE,306990,329900,6% off,4.3,12,,Apple,,,1 TB,41.15 cm
HP,75450,87717,13% off,4.3,3,,AMD,,,512 GB,40.89 cm
DELL,39090,50132,22% off,4.3,3,,AMD,,,256 GB,39.62 cm
